date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
14000609,فاراك,2.41E+11,120513612,8255091,2004,-4,1992,2079,1992,1992,72,1712,1077,4,3,115388544,113527292,5125068,6986320
14000610,فاراك,1.41E+11,69674220,8255091,2030,1,1970,2093,1950,2050,73,1261,974,3,3,68709220,66501160,965000,3173060
14000613,فاراك,1.52E+11,73624735,8255091,2059,1,2089,2127,2024,2054,74,1507,1031,2,4,73137278,73422822,487457,201913
14000614,فاراك,2.34E+11,110933684,8255091,2105,2,2070,2160,2021,2091,75,1479,1284,5,2,108282643,107133684,2651041,3800000
14000615,فاراك,5.91E+11,268718982,8255091,2199,4,2140,2210,2101,2167,79,1511,2575,4,6,263968982,227970854,4750000,40748128
14000616,فاراك,2.62E+11,116695694,8255091,2244,2,2180,2292,2134,2250,80,1270,2439,3,1,113856422,116285686,2839272,410008
14000617,فاراك,5.84E+11,248615797,8255091,2350,5,2250,2356,2250,2356,84,1175,2810,7,12,240075688,199693555,8540109,48922242
14000620,فاراك,3.75E+11,159888625,8255091,2343,0,2400,2444,2262,2293,84,1983,1810,9,1,152237541,157888625,7651084,2000000
14000621,فاراك,84113471058,37598689,8255091,2237,-5,2281,2320,2226,2226,80,687,345,4,1,30802611,37198689,6796078,400000
14000622,فاراك,2.1E+11,98263649,8255091,2136,-5,2133,2212,2126,2126,76,1158,941,2,1,98147649,98247745,116000,15904
14000623,فاراك,1.75E+11,81802869,8255091,2139,0,2100,2210,2081,2120,76,1302,1285,0,1,81802869,81661450,0,0
14000624,فاراك,1.35E+11,62904268,8255091,2140,0,2120,2190,2075,2143,76,878,1856,6,3,55693361,61394887,7210907,1509381
14000627,فاراك,2.12E+11,103643374,8255091,2044,-4,2179,2179,2033,2033,73,1072,591,5,2,92978444,101753279,10664930,1890095
14000628,فاراك,1.23E+11,62305378,8255091,1967,-4,1989,2088,1942,1942,70,884,653,4,2,52965810,58655508,9339568,3649870
14000629,فاراك,1.1E+11,56805900,8255091,1945,-1,1920,2010,1897,1916,69,1022,800,2,2,51926229,56233409,4879671,572491
14000630,فاراك,1.41E+11,75891447,8255091,1859,-4,1910,1950,1848,1858,66,1043,793,2,2,74591447,74232899,1300000,1658548
14000631,فاراك,89020924102,49282066,8255091,1806,-3,1850,1912,1767,1840,65,1084,857,1,3,49279066,48846970,3000,435096
